"Time","Env"
0,3800
0.04004004004004,3799.37982976146
0.0800800800800801,3798.78659760317
0.12012012012012,3798.21917993474
0.16016016016016,3797.67645316573
0.2002002002002,3797.15729370573
0.24024024024024,3796.66057796432
0.28028028028028,3796.18518235109
0.32032032032032,3795.72998327562
0.36036036036036,3795.29385714748
0.4004004004004,3794.87568037627
0.44044044044044,3794.47432937156
0.48048048048048,3794.08868054293
0.520520520520521,3793.71761029998
0.560560560560561,3793.35999505228
0.600600600600601,3793.01471120941
0.640640640640641,3792.68063518095
0.680680680680681,3792.3566433765
0.720720720720721,3792.04161220562
0.760760760760761,3791.73441807791
0.800800800800801,3791.43393740294
0.840840840840841,3791.1390465903
0.880880880880881,3790.84862204957
0.920920920920921,3790.56154019034
0.960960960960961,3790.27667742217
1.001001001001,3789.99291015467
1.04104104104104,3789.7091147974
1.08108108108108,3789.42416775996
1.12112112112112,3789.13694545192
1.16116116116116,3788.84632428287
1.2012012012012,3788.55118066239
1.24124124124124,3788.25039100005
1.28128128128128,3787.94283170546
1.32132132132132,3787.62737918817
1.36136136136136,3787.30290985779
1.4014014014014,3786.96830012389
1.44144144144144,3786.62242639605
1.48148148148148,3786.26416508386
1.52152152152152,3785.89239259689
1.56156156156156,3785.50598534473
1.6016016016016,3785.10381973697
1.64164164164164,3784.68477218318
1.68168168168168,3784.24771909295
1.72172172172172,3783.79153687586
1.76176176176176,3783.31510194149
1.8018018018018,3782.81729069943
1.84184184184184,3782.29697955925
1.88188188188188,3781.75304493055
1.92192192192192,3781.18436322289
1.96196196196196,3780.58981084587
2.002002002002,3779.96826434951
2.04204204204204,3779.31990041841
2.08208208208208,3778.64937366633
2.12212212212212,3777.96230204534
2.16216216216216,3777.26430350754
2.2022022022022,3776.56099600502
2.24224224224224,3775.85799748987
2.28228228228228,3775.16092591416
2.32232232232232,3774.47539923
2.36236236236236,3773.80703538947
2.4024024024024,3773.16145234465
2.44244244244244,3772.54426804764
2.48248248248248,3771.96110045053
2.52252252252252,3771.4175675054
2.56256256256256,3770.91928716433
2.6026026026026,3770.47187737943
2.64264264264264,3770.08095610277
2.68268268268268,3769.75214128645
2.72272272272272,3769.49105088254
2.76276276276276,3769.30330284316
2.8028028028028,3769.19451512036
2.84284284284284,3769.17030566626
2.88288288288288,3769.23629243293
2.92292292292292,3769.39809337247
2.96296296296296,3769.66132643696
3.003003003003,3770.03160768243
3.04304304304304,3770.50897741768
3.08308308308308,3771.07564450138
3.12312312312312,3771.71026071559
3.16316316316316,3772.39147784236
3.2032032032032,3773.09794766377
3.24324324324324,3773.80832196189
3.28328328328328,3774.50125251877
3.32332332332332,3775.15539111648
3.36336336336336,3775.74938953709
3.4034034034034,3776.26189956265
3.44344344344344,3776.67157297525
3.48348348348348,3776.95706155693
3.52352352352352,3777.09701708977
3.56356356356356,3777.07009135584
3.6036036036036,3776.85493613718
3.64364364364364,3776.43020321588
3.68368368368368,3775.774544374
3.72372372372372,3774.8666113936
3.76376376376376,3773.68505605674
3.8038038038038,3772.20853014549
3.84384384384384,3770.41568544192
3.88388388388388,3768.28517372808
3.92392392392392,3765.79564678606
3.96396396396396,3762.9257563979
4.004004004004,3759.65417119954
