model.name,totaltips,dispersal,amp,freq,niche.ev.rate,breath.ev.rate,phylo.sig,Me,geo.mode,slope,enviro.mode,enviro.hetero,RO0,RO50,RO75,RO90,RO100,ROmean,asymmean,bimod100,bimod90,bimod75,bimod50,ROkurt,ROskew,TOmean,TOsd,RSskew,RSmean,RSsd,RDmean,RDsd,ROslope,ROintercept,asymslope,asymintercept,RDslope,RDintercept,Beta,CI,SI,gamma,ARCint,ARCslope
run_5813_VM_shortertimestep_2,89,9,0.9843206,0.2923534,0.6845518,0.7511882,0.500618,224.9435,sympatric,0.05152796,linear,0,0.04,0.88,0.8,0.72,0.64,0.866590342,0.220319555,0.1024,0.1152,0.128,0.1408,6.799575129,-2.163241531,0,0.327073519,0.51391644,0.356462723,0.325114527,0.0005714,0.002856998,0.392273137,0.832906348,-0.310425659,0.246975411,-0.000392713,0.000605121,-0.987079101,542,924,0.82860829,0.808758036,-0.361576636
run_5813_VM_shortertimestep_3,109,10,1.815098,0.6336904,0.4198791,0.2769145,0.652353,152.2279,parapatric,0.02555722,sine,1,0.111111111,0.722222222,0.638888889,0.361111111,0.111111111,0.683174383,0.33767243,0.049382716,0.160493827,0.283950617,0.320987654,2.391131764,-0.948509135,0.020835805,0.353574189,-0.205379184,0.53863151,0.309805212,0.002012372,0.006628328,0.798265943,0.632680894,0.410399392,0.31171304,0.003072819,0.001818004,-0.810200546,573,1101,1.979391255,0.669338763,0.059534482
run_5813_VM_shortertimestep_6,105,9,0.6159319,0.7087034,0.939026,0.5263808,0.5099455,62.86394,parapatric,0.01339475,sine,0,0.193548387,0.64516129,0.548387097,0.35483871,0.225806452,0.605172594,0.272927277,0.174817898,0.27471384,0.424557752,0.499479709,1.648318295,-0.546485458,0,0.558623641,0.101458885,0.457431929,0.280708607,0.004339169,0.014078672,-0.873743691,0.679850417,0.146331483,0.260420501,0.022263255,0.002436356,-0.350789337,402,908,-0.483220337,0.62525238,-0.087861177
run_5814_VM_shortertimestep_1,19,7,0.44286,0.973532,0.9554958,0.3932377,0.4478346,161.1579,sympatric,0.02879299,linear,0,0.142857143,0.857142857,0.714285714,0.571428571,0.571428571,0.800483798,0.200922162,0.326530612,0.326530612,0.408163265,0.489795918,4.438306138,-1.74300508,0.082839546,0.511660553,-0.022718873,0.477941531,0.362336701,0.001020356,0.002699609,-0.172308123,0.819374722,-0.09900276,0.211776285,0.003138011,0.000676322,1.607896547,27,91,1.155767804,0.7495285,-0.256064592
run_5814_VM_shortertimestep_2,54,7,0.5467939,1.604933,1.183332,0.501798,0.6881295,74.93438,allopatric,0.03677706,sine,0,0.315789474,0.578947368,0.473684211,0.421052632,0.210526316,0.556300636,0.278753392,0.265927978,0.531855956,0.59833795,0.731301939,1.308452792,-0.276510866,-0.003424098,0.395501984,0.058331102,0.484954529,0.340763876,0.003538999,0.006147757,-0.357270215,0.595458847,-0.887690365,0.376047723,0.015765404,0.001811049,-0.343787577,232,444,-0.623229305,0.666666465,-0.181545049
run_5814_VM_shortertimestep_3,74,8,1.377571,1.946271,1.91622,0.02752426,0.4648416,102.2249,allopatric,0.01080632,linear,1,0.541666667,0.291666667,0.166666667,0.125,0.041666667,0.252164237,0.304957532,0.090277778,0.270833333,0.361111111,0.631944444,2.246974151,0.988826222,0,0.527302958,0.697377991,0.300766911,0.281410883,0.077951586,0.15317749,-0.965940472,0.32213634,-0.573954599,0.346534432,0.486082074,0.042740115,-0.112720136,238,594,1.752119584,0.268116044,-0.245146158
run_5814_VM_shortertimestep_6,70,7,1.053459,1.14623,1.437806,0.775771,0.697457,212.8731,allopatric,0.02814565,linear,0,0.304347826,0.565217391,0.52173913,0.47826087,0.130434783,0.56279368,0.261499517,0.15879017,0.582230624,0.635160681,0.688090737,1.215681298,-0.273533115,-0.004295051,0.661990833,0.553289315,0.371141808,0.316760505,0.015632402,0.048867544,0.152644372,0.535703476,-0.462282478,0.343542021,0.081891762,0.001098852,0.267678864,183,517,-1.581225289,0.558652671,-0.214360866
run_5815_VM_shortertimestep_1,89,3,1.317913,1.848585,1.953057,0.8920182,0.8228575,61.1518,dispersal,0.05829479,sine,1,0.548387097,0.161290323,0.096774194,0.064516129,0.064516129,0.219817222,0.187003739,0.141519251,0.141519251,0.212278876,0.353798127,3.401310594,1.304588448,-0.083510262,0.357147158,1.348211859,0.20337535,0.245286271,0.043000795,0.086798135,0.814693215,0.170698642,0.503479122,0.156648534,0.507347592,0.012412357,1.161138574,203,665,0.734453397,0.269408452,0.034032466
run_5815_VM_shortertimestep_2,124,3,1.421847,0.7298801,0.1857714,0.003017533,0.3131066,174.9405,parapatric,0.007275255,linear,1,0.047619048,0.857142857,0.714285714,0.619047619,0.333333333,0.802247736,0.201636358,0.063492063,0.117913832,0.136054422,0.163265306,4.215288287,-1.533238885,0.144372182,0.461120373,-0.358676278,0.471365448,0.285700553,0.000340119,0.001539495,0.105471789,0.795928773,1.968407545,0.083706294,-0.005365805,0.000661592,1.553760407,357,1005,0.216218241,0.781252171,-0.430123076
run_5815_VM_shortertimestep_3,144,3,0.5025179,1.071217,0.9186596,0.5263047,0.8398645,202.231,dispersal,0.04030812,sine,0,0.4375,0.354166667,0.229166667,0.1875,0.083333333,0.333494843,0.206939535,0.145833333,0.328125,0.401041667,0.619791667,1.781369963,0.691381424,-0.136555111,0.480468617,0.656263413,0.332039522,0.319017795,0.010834582,0.027868976,1.979841571,0.19952384,0.507604639,0.172591179,-0.051324422,0.014307579,-0.591144722,717,1431,0.832952883,0.391232448,0.102340336
